विठ्ठल vitthal
अंगारीता angarita
अंगुरी anguri
अनिचम anicham
अनिजा anija
अनिका anika
अनिला anila
अनिमा anima
अनिसा anisa
अनिसाह anisah
अनिषा anisha
अनिता anita
अनया anaya
अनिया aniya
अंजली anjali
अंजलिका anjalika
अंजनी anjani
अंजता anjata
अंजिका anjika
अंजिनी anjini
अंजुम anjum
अंकिता ankita
अंकुशा ankusha
अंकुशी ankushi
अनमोल anmol
अन्नपुर्णा annapurna
अन्निका annika
अन्निसा annisa
अन्निषा annisha
अनूना anuna
अनूपा anupa
अनूपबिर anupbir
अंशी anshi
अंशिका anshika
अंशिता anshita
अंशु anshu
अंशुला anshula
अंशुमाला anshumala
अंशुमाली anshumali
अंशुपर्णी anshuparni
अंस्रुता ansruta
अंसुया ansuya
अंतरा antara
अंतरीक्षा antriksha
अंतर्जोत antarjot
अंतर्प्रीत antarpreet
अंतिका antika
अंतिनी antini
अनु anu
अनुजा anuja
अनुराधा anuradha
अनुशा anusha
अनुबाला anubala
अनुभा anubha
अनुभुती anubhuti
अनुदीपा anudipa
अनुदीप्ती anudipti
अनुगीता anugita
अगुगीती agugiti
अनुग्रहा anugraha
अनुग्या anugya
अनुका anuka
अनुकंपा anukampa
अनुकिर्तना anukirtana
अनुकृती anukriti
अनुला anula
अनुलेखा anulekha
अनुलता anulata
अनुमाया anumaya
अनुमिता anumita
अनुपा anupa
अनुपल्लवी anupallavi
अनुपमा anupama
अनुप्रभा anuprabha
अनुप्रमा anuprama
अनुप्रिया anupriya
अनुदीप anudip
अनुरती anurati
अनुरुपा anurupa
अनुशाका anushaka
अनुशिला anushila
अनुशी anushi
अनुशिखा anushikha
अनुष्का anushka
अनुशोभिनी anushobhini
अनुश्री anushri
अनुष्ठा anushtha
अनुतप्ता anutapta
अनुवृंदा anuvrinda
अनुया anuya
अन्वी anvi
अन्विता anvita
अनवर anvar
अनया anaya
अपराजिता aprajita
अपर्मिता aparmita
अपर्जिता aparjita
अपेक्षा apeksha
अपेक्षीता apekshita
अपुर्वा apurva
अप्सरा apsara
अपुर्बा apurba
अपरा apara
आराधना aradhana
आराधिता aradhita
आरनी arani
आरसी arasi
आरम aram
आरवली arvali
आरवानी arwani
अरविंदा aravinda
अर्चा archa
अर्चना archana
आर्ची archi
अर्चिता archita
अर्चिवी archivi
अरीबाह aribah
अरीज areej
आरिक्ता arikta
अर्जा arja
अर्जिता arjita
अर्जना arjana
अर्का arka
अर्कीता arkita
अर्मिता armita
अर्निका arnika
अर्निमा arnima
अरोही arohi
आरूब arub
अर्पिता arpita
अर्षा arsha
अर्षिया arshiya
अर्षी arshi
आरुही aruhi
अरुल arul
अरुमाई arumai
अरुना aruna
अरुनादेवी arunadevi
अरुंदती arundati
अरुनी aruni
अरुनिका arunika
अरुनिमा arunima
आरुषी arushi
अरुप्ता arupta
अर्वा arva
अर्विंदानी arvindani
आर्या arya
आर्याही aryahi
आर्यना aryana
आयेशा ayesha
आसक्ती asakti
असरत asarat
आसावरी asavari
असीमा asima
आशाकीरण ashakiran
आशानी ashani
आशिका ashika
आशिरा ashira
अक्षा aksha
अशलन ashlan
अष्मा ashma
अष्मी ashmi
अष्मीजा ashmija
अश्रिता ashrita
आशु ashu
आशुता ashuta
अश्विका ashvika
अश्विना ashwina
अश्विनी ashvini
अश्विता ashvita
आशिया ashiya
असिता asita
असिमा asima
आसिया asiya
आस्मा asma
अस्मिता asmita
अशोका ashoka
आस्था astha
अथिवा athiva
अथिपु athipu
अथिरा athira
अतिया atiya
आत्मजा atmaja
आत्मिका atmika
अत्रेयी atreyi
अत्रेया atreya
अतुला atula
अवनी avani
अवंती avanti
अवधा avadha
अवनिजा avanija
अवंतिका avantika
अवतारा avatara
अविनाशी avinashi
अविशी avishi
अयाती ayati
आयेशा ayesha
आयुशी ayushi
आयुशमती ayushmati
आयुता ayuta
अवनीत avanit
अवनिका avanika
अवनिता avanita
अवलोकिता avalokita
अशना ashana
आरजु araju
आफरीन aphrin
अशलेशा ashlesha
असरिता asarita
अभिज्ञा abhidnya
अदरिसा adrisa
अदविता advita
अमना amana
अमनी amani
बाली bali
बाला bala
बालामणी balamani
बबिता babita
बबली babali
बद्रा badra
बबडी babadi
बागेश्री bageshri
बहूला bahula
बहुमंजिरी bahumanjiri
बहुरूपा bahurupa
बलबिर balbir
बलजित baljit
बानुरेखा banurekha
बासिमा basima
बदरी badari
बद्रीया badriya
बद्रीका badrika
बहीरा bahira
बहीनाबाई bahinabai
बहिया bahiya
बैजयंती baijayanti
बंधना bandhana
बन्नी banni
बन्नो banno
बनश्री banshri
बांसुरी bansuri
बरका baraka
ब्राची brachi
बरीका barika
बरखा barakha
बसंती basanti
बशीरा bashira
बसिराह basirah
बसिमाह basimah
बत्ती batti
बतुल batul
बीना beena
बेला bela
बेनझिर benzir
बेनी beni
बेनमाला benmala
बेबी bebi
बखिया bakhiya
भागीरथी bhagirathi
भाग्या bhagya
भाग्यलक्ष्मी bhagyalaxmi
भाग्यश्री bhagyashri
भामिनी bhamini
भानु bhanu
भानुलता bhanulata
भानुमंजिरी bhanumanjiri
भानुप्रिया bhanupriya
भानुश्री bhanushri
भारती bharati
भार्गवी bhargavi
भावना bhavana
भवानी bhavani
भद्रा bhadra
भद्रानी bhadrani
भद्रकली bhadrakali
भद्ररुपा bhadrarupa
भद्रावती bhadravati
भद्रीका bhadrika
भद्रुका bhadruka
भगवती bhagvati
भागवंती bhagvanti
भाग्यासुंदरी bhagyasundari
भाग्यवती bhagyavati
भैरवी bhairavi
भक्ती bhakti
भानुकुमारी bhanukumari
भानुमुखी bhanumukhi
भानुप्रभा bhanuprabha
भानुजा bhanuja
भानुनी bhanuni
भाषा bhasha
भाषीनी bhashini
भासवती bhasvati
भौमी bhaumi
भौमवती bhaumvati
भावदा bhavada
भावनी bhavani
भावी bhavi
भाविका bhavika
भविता bhavita
भवजीत bhavjit
भिमा bhima
भिमेश्वरी bhimeshwari
भोगवती bhogvati
भगवानी bhagwani
भोली bholi
भुमी bhumi
भुषनी bhushani
भ्रमरा bhramara
भ्रमनी bhramani
भुदेवी bhudevi
भुजाता bhujata
भुमिका bhumika
भुमिजा bhumija
भुमिलता bhumilata
भुवना bhuvana
भुवनेश्वरी bhuvaneshwari
भुवी bhuvi
भुविता bhuvita
बिजल bijal
बिजल bijal
बिजुल bijul
बिजुला bijula
बिल्ली billi
बिलवा bilava
बिमला bimala
बिंबिका bimbika
बिंदु bindu
बिंदुलता bindulata
बिंदुमाधवी bindumadhavi
बिंदुमालिनी bindumalini
बिनल binal
बिंदा binda
बिंदेश्वरी bindeshwari
बिंदीया bindiya
बिनिता binita
बिपाशा bipasha
बिशाखा bishakha
ब्रिंदा brinda
बुद्दी buddi
बुलबुल bulbul
छाया chhaya
चाहत chahat
चाहना chahana
चैताली chaitali
चैत्री chaitri
चैत्रा chaitra
चक्री chakri
चमेली chameli
चमकी chamaki
चंपावती champavati
चंपिका champika
चंचला chanchala
चंदा chanda
चंदाप्रीया chandapriya
चंदना chandana
चांदनी chandani
चंदावती chandavati
चांदबाला chandbala
चंदिका chandika
चंद्रा chandra
चंद्रबाला chandrabala
चंद्रभुती chandrabhuti
चंद्रहसा chandrahasa
चंद्रज्योती chandrajyoti
चंद्रकिरण chandrakiran
चंद्रकुमारी chandrakumari
चंद्रलेखा chandralekha
चंद्रकला chandrakala
चंद्रमणी chandramani
चंद्रमुखी chandramukhi
चंद्रपर्णी chandraparni
चंद्रपुष्पा chandrapushpa
चंद्ररेखा chandrarekha
चंद्रवसा chandravasa
चंद्रवती chandravati
चंद्रबाली chandrabali
चंद्रभा chandrabha
चंद्रभागा chandrabhaga
चंद्रहासीनी chandrahasini
चंद्रकली chandrakali
चंद्रकांता chandrakanta
चंद्रकांती chandrakanti
चंद्रमौली chandramauli
चंद्रानी chandrani
चंद्रस्वरुपा chandraswarupa
चंद्रीका chandrika
चंद्रिमा chandrima
चपला chapala
चरणजीत charanjeet
चरणजोत charanjot
चरणप्रीत charanpreet
चारु charu
चारुलता charulata
चारुमित्र charumitra
चारुपर्णी charuparni
चारुप्रभा charuprabha
चारुलक्ष्मी charulaxmi
चारुरश्मी charurashmi
चारुशिला charushila
चारुधरा charudhara
चारुलता charulata
चारुस्मिता charusmita
चारवी charavi
चतुरा chatura
चेतकी chetaki
चेतना chetana
छावी chhavi
चिन्मयी chinmayi
चिंतना chintana
चिंतनिका chintnika
चितकला chitkala
चित्रा chitra
चित्रादेवी chitradevi
चित्रज्योती chitrajyoti
चित्रकला chitrakala
चित्रकेशी chitrakeshi
चित्राक्षी chitrakshi
चित्रलता chitralata
चित्रलेखा chitralekha
चित्राली chitrali
चित्रमाला chitramala
चित्रमुखी chitramukhi
चित्रांगदा chitrangada
चित्रानी chitrani
चित्रपर्णी chitraparni
चित्ता chitta
चुटकी chutaki
छ्कुली chhkuli
ऐरावती airavati
अजिंदर ajindar
अकैशा akaisha
अकबर akbar
अरमान araman
अरबाज arabaj
अक्षता akshata
अक्षमाला akshamala
अक्षयानी akshayani
अलकनंदा alaknanda
अमृतरश्मि amritrashmi
अमृतवल्ली amritvalli
अमतुल्लाह amatullah
अंगारमती angarmati
अंशुमती anshumati
अंजुमती anjumati
अंजुमन anjuman
अंजनावती anjanavati
अंकमालिका ankmalika
अनमोलिका anmolika
भानुमती bhanumati
भानुमयी bhanumayi
भानुतनया bhanutanaya
भुजलक्ष्मी bhujlaxmi
बिंदुमती bindumati
दक्षवाणी dakshvani
दैदीप्या daidipya
देवकी devaki
देवनी devani
देवश्री devshri
देवयानी devyani
देवीबाला devibala
देवीप्रीया devipriya
देवी devi
देविका devika
देविकाराणी devikarani
दक्षा daksha
दक्षावाणी dakshavani
दलबिर dalbir
दली dali
दमयंती damyanti
दामिनी damini
दर्पाली darpali
दर्पना darpana
दर्शना darshana
दर्शनी darshani
दर्शिता darshita
दत्तादेवी dattadevi
दया daya
दयानिता dayanita
दिक्षा diksha
दिना dina
दिपा dipa
दिपल dipal
दीपंगना dipangana
दीपांजली dipanjali
दीपिका dipika
दीपिंदर dipindar
दीपमाला dipmala
दीप्ती dipti
दीप्तीका diptika
देलिशा delisha
देवांगी devangi
देवंशी devanshi
देवप्रिया devpriya
देवश्री devshri
देवेशी deveshi
देविना devina
देवमणी devmani
देवना devana
देववाणी devvani
धारा dhara
धारुनी dharuni
धरती dharati
धनशिला dhanshila
धनिका dhanika
धनिया dhaniya
धनिश्ता dhanishta
धन्नो dhanno
धनुशा dhanusha
धनवंती dhanvanti
धनवती dhanvati
धनवी dhanavi
धन्या dhanya
धन्यमाला dhanyamala
धरनी dharani
धरिका dharika
धरिनी dharini
धरित्री dharitri
धर्मावती dharmavati
धर्मिनी dharmini
धरना dharana
धर्निता dharnita
धरुना dharuna
धवल dhawal
धवली dhawali
धवलिका dhawalika
धवन dhavan
धिरा dhira
धिरसुधा dhirsudha
धृवा dhriva
धृवरत्ना dhrivaratna
धृवी dhrivi
धृविका dhrivika
धृवती dhrivati
धुली dhuli
धुलिका dhulika
ध्वनी dhvani
ध्वनिका dhvanika
दिलनी dilani
डींपल dimpal
दिपाली dipali
दिपंविता dipanvita
दिपश्री dipshri
दिशा disha
दिशी dishi
दिशिता dishita
दिविजा divija
दिविशा divisha
दिविया diviya
दिव्या divya
दिव्याना divyana
दिव्यांशा divyansha
दिव्यंशी divyanshi
दिव्यता divyata
दिया diya
द्रौपदी draupadi
दृष्टी drushti
दृश्या drushya
दृती druti
दुर्गा durga
दुर्गामा durgama
दुरिया duriya
दुर्वा durva
दुशाला dushala
दुशंती dushanti
ईशा isha
ईशिका ishika
एकादशी ekadashi
एकांकिका ekankika
एकांशा ekansha
एकांशी ekanshi
एकंता ekanta
एकिशा ekisha
एकता ekta
एकशिखा ekshikha
ईलाक्षी ilakshi
ईश्वरी ishwari
ईशिता ishita
ईशना ishana
चैतन्या chaitanya
चंदनमाला chandanmala
चंदनवती chandanvati
चंदनिका chandnika
चारुमती charumati
चिंतनिका chintnika
छोटी chhoti
दीपज्योती dipjyoti
दीपज्योती dipjyoti
दीपशिखा dipshikha
धनलक्ष्मी dhanlaxmi
धनदेवी dhandevi
धनश्री dhanshri
धवलश्री dhawalshri
ईला ila
ईश्वरी ishwari
ईलिकानी ilikani
ईलिमणी ilimani
ईना ina
ईरावती iravati
ईशानी ishani
ईशनिका ishnika
फतिना fatina
फदिया fadiya
फदिलाह fadilah
फागुनी faguni
फैयाज faiyaz
फैजा faiza
फैजाह faizah
फैजीया faiziya
फाल्गुनी falguni
फलक falak
फैना faina
फनिजा faniza
फना fana
फनिका fanika
फनीलता fanilata
फराह farah
फरीदा farida
फरीहा fariha
फरहिना farhina
फरिदाह faridah
फतिमा fatima
फतिमाह fatimah
फतिनाह fatinah
फजिला fazila
फिरोजा firoza
फेना fena
फियाल fiyal
फिजा fiza
फिजाह fizah
फुल्की fulki
गोपेश्वरी gopeshwari
गोपी gopi
गोपिका gopika
गोपकिशोरी gopkishori
गोपनंदीनी gopnandini
गोरी gori
गोरमा gorama
गोवरी gowari
ग्रंथाना granthana
ग्रिष्मा grishma
गुड्डी guddi
गुडिया gudiya
गुहिका guhika
गुजरीया gujriya
गुल gul
गुलाब gulab
गुलाबी gulabi
गुलाबो gulabo
गुलाल gulal
गुलिका gulika
गुलनार gulnar
गुना guna
गुनित gunit
गुनिता gunita
गुंजा gunja
गुंजाली gunjali
गुंजन gunjan
गुंजर gunjar
गुजारी gujari
गजरी gajari
गुनिका gunika
गुणप्रीत gunpreet
गुणप्रीया gunpriya
गुणवर्धिनी gunwardhini
गुणवंती gunvanti
गुणवती gunvati
गुरचरण gurcharan
गुनदीप gundip
गुरींदर gurindar
गुर्जारी gurjari
गुरजीत gurjit
गुरकिरण gurkiran
गुरप्रविण gurpravin
गुरप्रीत gurpreet
गुरशांत gurshant
गुरशरण gursharan
गुरमुख gurmukh
गुरसुख gursukh
गगनदीप gagandeep
गगनजोत gaganjot
गंधमोहिनी gandhmohini
गहमा gahama
गजमुक्ता gajmukta
गजगामिनी gajgamini
गजपुष्पी gajpushpi
गजराज gajraj
गामिनी gamini
गणना ganana
गांधारी gandhari
गंधलता gandhlata
गंधमालती gandhmalati
गंधपुष्पा gandhpushpa
गंधवती gandhvati
गणेशी ganeshi
गंगा ganga
गंगाजळी gangajali
गंगी gangi
गंगिका gangika
गंगोत्री gangotri
गनिका ganika
गंजना ganjana
गर्जेवी garjevi
गर्जी garji
गरिमा garima
गर्विता garvita
गाथिका gathika
गती gati
गतिता gatita
गतलीन gatlin
गतशरण gatsharan
गौहार gauhar
गौरा gaura
गौरंगा gauranga
गौरंगी gaurangi
गौरवी gauravi
गौरी gauri
गौरिका gaurika
गौतमी gautami
गायंती gayanti
गायंतिका gayantika
गायत्री gayatri
गायंतिका gayantika
गायंती gayanti
गायना gayana
गझला gazala
गीत git
गीता geeta
गीताली gitali
गीतांजली gitanjali
गीताश्री gitashri
गीतावली gitavali
गीती geeti
गीतिका gitika
गहना gahana
घनिका ghanika
ग्यानी gyani
ग्यानदीप gyandeep
ग्यानलीन gyanleen
ग्यानप्रीत gyanpreet
ग्यानरूप gyanrup
ग्यानविर gyanvir
घरचिन gharchin
गिरा gira
गिरी giri
गिरिशालिनी girishalini
गिरिबाला giribala
गिरिजा girija
गिरिका girika
गिरिनंदी girinandi
गिरिजाकिशोरी girijakishori
गिरिजाकुमारी girijakumari
गिरिजानंदिनी girijanandini
गिरिशा girisha
गिरिष्मा girishma
गोदावरी godavari
गोदिवा godiva
गोमती gomati
गुजरी gujari
गुंज gunj
गोपा gopa
गोपाली gopali
गोपालीका gopalika
गोपालिनी gopalini
गोपबाला gopbala
गुरमीत gurmit
गुरनीत gurnit
गुरवीर gurvir
गुरजीवन gurjivan
गुरकिरत gurkirat
गुलबहार gulbahar
गुलमेहंदी gulmehandi
गुरलीन gurlin
गाथा gatha
हादीया hadiya
हारती harati
हारीका harika
हासिनी hasini
हासिता hasita
हबिबा habiba
हबिबाह habibah
हादसा hadasa
हदीया hadiya
हदीयाह hadiyah
हफीजा haphija
हफसाह haphsah
हफताह haphtah
हैफा haipha
हैमा haima
हैमवती haimvati
हैमंती haimanti
हैमी haimi
हलम halam
हलीमा halima
हलीमाह halimah
हमश्री hamshri
हमीदा hamida
हमीदाह hamidah
हमसा hamasa
हमसिनी hamsini
हना hana
हनन hanan
हनीफा hanipha
हनीशा hanisha
हनिफाह haniphah
हनिता hanita
हनिया haniya
हनियाह haniyah
हंसा hansa
हंसकिशोरी hanskishori
हंसनंदिनी hansnandini
हंसला hansala
हंसिका hansika
हंसिनी hansini
हंसुजा hansuja
हरबिर harbir
हरदीका hardika
हरदीपा hardipa
हरीप्रिया haripriya
हरीबाला haribala
हरीचंदना harichandana
हरिचरण haricharan
हरीद्रा haridra
हरीनक्षा harinaksha
हरीनक्षी harinakshi
हरीनी harini
हरीता harita
हरजप harjap
हरजीवन harjivan
हरजीत harjit
हरजोत harjot
हरकिरत harkirat
हरकिरन harkiran
हरमीत harmit
हरपाल harpal
हरप्रित harprit
हर्षा harsha
हर्षदा harshada
हरशरण harsharan
हर्षी harshi
हर्षिनी harshini
हर्षिता harshita
हर्सिका harsika
हसीना hasina
हसिता hasita
हसना hasana
हसुमती hasumati
हया haya
हयाम hayam
हयात hayat
हिना hina
हिर hir
हिरा hira
हिरकनी hirkani
हेलेना helena
हेम hem
हेमा hema
हेमांगी hemangi
हेमाद्री hemadri
हेमाक्षी hemakshi
हेमल hemal
हेमाली hemali
हेमामालीनी hemamalini
हेमानी hemani
हेमंता hemanta
हेमावती hemavati
हेमीशा hemisha
हेमकांता hemkanta
हेमकांती hemkanti
हेममाला hemmala
हेमप्रभा hemprabha
हेमपुष्पी hempushpi
हेमसुता hemsuta
हेमवंती hemvanti
हेमवतीनंदन hemvatinandan
हिसा hisa
हेतल hetal
हिबाह hibah
हिमा hima
हिमानी himani
हिमबाला himbala
हिमबिंदु himbindu
हिमाला himala
हिमाली himali
हिमांगी himangi
हिमांगीनी himangini
हिमंक himank
हीमांशी himanshi
हिमवर्णा himvarna
हिमवर्षा himvarsha
हिनल hinal
हिंद hind
हिरल hiral
हिरांक्षी hirankshi
हिरणमयी hiranmayi
हिरण्या hiranya
हिता hita
हिताक्षी hitakshi
हितांशी hitanshi
हिती hiti
हितेशा hitesha
हिया hiya
हिजा hija
होली holi
होलीयान holiyan
होमवती homvati
हूर hur
हूरीया huriya
ह्रिदय hriday
ह्रिदयेशा hridyesha
ह्रितिका hritika
ह्रुलेखा hrulekha
हुदा huda
हुलसी hulasi
हुमाला humala
हुमा huma
हुसनिया husniya
इबतिहाज ibtihaj
ईच्छा ichha
ईछिता ichhita
ईदा ida
ईदाबेली idabeli
ईदालीना idalina
ईधाया idhaya
ईहा iha
ईहीना ihina
ईहीता ihita
ईकजोत ikjot
ईक्रम ikram
ईक्षा iksha
ईक्षित ikshit
ईक्षुला ikshula
ईक्षुमती ikshumati
ईला ila
ईहाम iham
ईमान iman
इमारती imarati
इमतीहाल imtihal
ईनाम inam
ईना ina
ईनानी inani
ईनास inas
ईनया inaya
ईनयता inyata
इंदीरा indira
इंदिरामोहीनी indiramohini
इंदिरजीत indirjeet
इंदिरप्रीत indirpreet
इंदिरवीर indirveer
इंद्र indra
इंद्राक्षी indrakshi
इंद्रानी indrani
इंद्रबाला indrabala
इंद्रायनी indrayani
इंद्रजा indraja
इंद्रकांता indrakanta
इंदु indu
इंदुलेखा indulekha
इंदुमती indumati
इंदुमुखी indumukhi
इंदुप्रभा induprabha
इंदुप्रिया indupriya
इंदुरामणी induramani
इंदुरेखा indurekha
इंदुवाणी induvani
इंदुवंदना induvandana
ईनिका inika
ईनिया iniya
ईनिमोली inimoli
ईनियाल iniyal
ईनिला inila
इंतिसार intisar
ईनु inu
ईप्सा ipsa
ईप्सिता ipsita
ईरा ira
ईरावती iravati
ईरिया iriya
इर्षिता irshita
इर्विता irvita
ईशा isha
ईशना ishana
ईशिनी ishini
ईशी ishi
ईशिका ishika
ईशिता ishita
ईष्मा ishma
ईष्ना ishna
ईशरत ishrat
ईशती ishati
ईश्वरी ishwari
ईश्वरीया ishwariya
ईती iti
इतिहासा itihasa
जाबिली jabili
जागृती jagruti
जाह्न्वी jahnvi
जांबवती jambvati
जान jan
जावली javali
जाबीन jabin
जगदंबा jagdamba
जगनमाता jaganmata
जगनमोहीनी jaganmohini
जगंती jaganti
जगती jagati
जगतमोहीनी jagatmohini
जगदंबिका jagdambika
जगदेई jagdei
जागीत्री jagitri
जगमोहीनी jagmohini
जगपाली jagpali
जाग्रवी jagravi
जगशोभा jagshobha
जगवंदीता jagvandita
जगवंती jagvanti
जागवी jagavi
जहान jahan
जहानारा jahanara
जहीरा jahira
जयप्रीत jaypreet
जाकीरा jakira
जाकी jaki
जाक्कम्मा jakkamma
जला jala
जलाधी jaladhi
जालंधरा jalandhara
जलबाला jalbala
जलजाक्षी jaljakshi
जलपा jalapa
जल्पेक्षा jalpeksha
जमिला jamila
जमिलाह jamilah
जमिली jamili
जामिनी jamini
जामिया jamiya
जमुना jamuna
जमया jamaya
जमिराह jamirah
जानन janan
जनककुमारी janakkumari
जनकदुलारी janakdulari
जानकी janaki
जानन janan
जननी janani
जान्हवी janhavi
जनाह janah
जन्या janya
जनसुधा jansudha
जपा japa
जपबिर japbir
जपिता japita
जपजोत japjot
जपलीन japlin
जरीन jarin
जसबिर jasbir
जसकीरत jaskirat
जसलीन jaslin
जसलीना jaslina
जास्मिन jasmin
जसमिंदर jasmindar
जसमिरा jasmira
जसमित jasmit
जसमिथा jasmitha
जसनाम jasnam
जसोदा jasoda
जसपिंदर jaspindar
जसप्रित jasprit
जसराणी jasrani
जससीन jassin
जस्सी jassi
जसवीर jasvir
जसविरी jasviri
जसवंत jasvant
जसवंती jasvanti
जती jati
जतिंदर jatindar
जवितारी javitari
जववाणी javvani
जवेरीया javeriya
जया jaya
जयाभादुरी jayabhaduri
जयबाला jaybala
जयभारती jaybharati
जयचित्रा jaychitra
जयदीपा jaydipa
जयदुर्गा jaydurga
जयगौरी jaygauri
जयकाली jaykali
जयकारी jaykari
जयमालिनी jaymalini
जयमाला jaymala
जयंती jayanti
जयंतीका jayantika
जयप्रभा jayprabha
जयाप्रदा jayaprada
जयारुधा jayarudha
जयशिला jayshila
जयश्री jayshri
जयसुधा jaysudha
जयवाणी jayvani
जयवर्धिनी jaywardhini
जयवंती jayvanti
जयविजया jayvijaya
जयिता jayita
जीनत jinat
जीत jit
जीवना jivana
जीवप्रभा jivprabha
जीवनी jivani
जीवनकला jivankala
जीवनलता jivanlata
जीवंती jivanti
जीविता jivita
जेताश्री jetashri
जेत्ता jetta
जागेश्वरी jageshwari
जगवती jagvati
झलक zalak
झानवी zanavi
झमा zama
झरना zarana
झील zeel
जिया jiya
जिगीशा jigisha
जिग्यासा jigyasa
जिल्ल jilla
जिताल jital
जितिका jitika
जिवंतिका jivantika
जिया jiya
जोगबला jogbala
जोगेंद्री jogendri
जोगिनी jogini
जोगमयी jogmayi
जोहरा johara
जोश josh
जोशिका joshika
जोशिता joshita
जोशया joshaya
जोस्ना josna
जुई jui
जुली juli
जुलेखा julekha
जुमना jumana
जुमनाह jumnah
ज्वाला jwala
ज्वालादेवी jvaladevi
ज्वालका jwalaka
ज्येष्ठा jyeshtha
ज्योथी jyothi
ज्योती jyoti
ज्योतीनिहीता jyotinihita
ज्योतीप्रभा jyotiprabha
ज्योतीशिखा jyotishikha
ज्योतीवासिनी jyotiwasini
ज्योतीबाला jyotibala
ज्योतीचित्रा jyotichitra
ज्योतिका jyotika
ज्योतीलक्ष्मी jyotilaxmi
ज्योतिर्लता jyotirlata
ज्योतिर्मयी jyotirmayi
जोत्सना jotsana
कादंबनी kadambani
कादंबरी kadambari
कादंबी kadambi
काजल kajal
कालिका kalika
कालिंदी kalindi
कामेश्वरी kameshwari
कामिनी kamini
कमला kamala
कामता kamata
कांतमा kantama
कांचन kanchan
कांचना kanchana
कार्तिका kartika
कारुण्या karunya
कासमिरा kasmira
कविया kaviya
काव्या kavya
केसिनी kesini
कैरवी kairavi
कैरबी kairabi
काजळी kajali
कजरी kajari
काजोल kajol
काकोली kakoli
काकशा kakasha
कला kala
कलावती kalavati
कलाई kalai
कलाशी kalashi
कलाश्री kalashri
काली kali
कालिला kalila
कालिनी kalini
कल्पलता kalpalata
कल्पना kalpana
कल्पवल्ली kalpavalli
कल्पिता kalpita
कल्था kaltha
कल्पतरु kalpataru
कल्यानी kalyani
कल्यान kalyan
कल्यानी kalyani
कामाक्षा kamaksha
कामाक्षी kamakshi
कमल kamal
कमला kamala
कमलाक्षी kamalakshi
कमलकली kamalkali
कामना kamana
कामनिया kamniya
कामयानी kamyani
कमीला kamila
कामिका kamika
कमिता kamita
कमोदी kamodi
काम्या kamya
कनका kanaka
कनक kanak
कनककुसुम kanakkusum
कनकलता kanaklata
कनकदुर्गा kanakdurga
काननबाला kananbala
कांचन kanchan
कांचनलता kanchanlata
कांचनमाला kanchanmala
कांचनप्रभा kanchanprabha
कांचना kanchana
कांची kanchi
कांचिका kanchika
कंदाली kandali
कंगन kangan
कानिका kanika
कनिक्षा kaniksha
कानीमोळी kanimoli
कनिष्का kanishka
कनिष्ठा kanishtha
कनिता kanita
कनिझाह kanizah
कांजना kanjana
कंकना kankana
कंकुलाबाई kankulabai
कानमणी kanmani
कांता kanta
कांथी kanthi
कांतीबाला kantibala
कांतिदा kantida
कानुप्रिया kanupriya
कनवल kanwal
कन्या kanya
कन्यका kanyaka
कपिला kapila
कपिलता kapilata
कपिंजला kapinjala
कपिक्षा kapiksha
कपूरी kapuri
करमजोत karamjot
करमप्रित karamprit
करीमा karima
करीना karina
करीमाह karimah
करिष्मा karishma
कर्णलता karnalata
करिदा karida
करिमाह karimah
करमदीप karamdeep
कर्णपाली karnapali
कर्णप्रिया karnapriya
कर्निका karnika
कर्पुर्ना karpurna
कार्तिकी kartiki
कार्तिगा kartiga
कार्तिका kartika
करुना karuna
करुनामयी karunamayi
कारुनी karuni
कारुण्या karunya
काशी kashi
काशीका kashika
कशिश kashish
कश्मिरा kashmira
कशथा kashatha
काश्विनी kashvini
कश्यपी kashyapi
कस्तुरी kasturi
कस्तुरीका kasturika
कथा katha
कौमुदी kaumudi
कौसल्या kausalya
कौसर kausar
कौशाली kaushali
कौशल्या kaushalya
कौशिकी kaushiki
कौतुका kautuka
कावेरी kaveri
कविता kavita
काव्यसुधा kavyasudha
कावकब kavkab
कावतार kavtar
कया kaya
कायल kayal
किरत kirat
किर्तिका kirtika
किर्तना kirtana
कीर्ती kirti
केंद्रिया kendriya
केशिका keshika
केशिनी keshini
केटकी ketaki
केतकी ketaki
केतना ketana
केवा keva
केया keya
केयुरी keyuri
खदीजा khadija
खदिजाह khadijah
खैरीया khairiya
खलिदा khalida
खलिदाह khalidah
खनक khanak
खयती khayati
खुलूद khulud
ख्रिशा khrisha
खुशबू khushabu
खुशी khushi
ख्याती khyati
किंद्रा kindra
किंजल kinjal
किनकिनी kinkini
किनेरा kinera
किनेरी kineri
किनारा kinara
किरण kiran
किरणमाला kiranmala
किरणमाया kiranmaya
किरणमयी kiranmayi
किरती kirati
किर्तीबाला kirtibala
किर्तीदा kirtida
किर्तीकला kirtikala
किर्तीलता kirtilata
किशोरी kishori
कोधाई kodhai
कोकीळा kokila
कोमल komal
किमनिका kimnika
कोमाली komali
कुसुम kusum
खुशी khushi
लक्षणी lakshani
लालसा lalasa
लाली lali
ललिता lalita
लालित्या lalitya
लब्धा labdha
लब्धी labdhi
लाभिनी labhini
लबोनी laboni
लाडली ladali
लारीसा larisa
लास्या lasya
लता lata
लतांगी latangi
लताशा latasha
लतिफाह latiphah
लतिका latika
लौक्या laukya
