विठ्ठल vitthal
गिरीलाल girilal
गिरीनाथ girinath
गिरीराज giriraj
गिरीवर giriwar
गितेश gitesh
गोकर gokar
गोकुळ gokul
गोकुळनाथ gokulnath
गोकुलानंद gokulanand
गोकुलदास gokuldas
गोपाल gopal
गोपद gopad
गोपालदास gopaldas
गोपालकृष्ण gopalkrishna
गोपालशंकर gopalshankar
गोपाला gopala
गोपाली gopali
गोपी gopi
गोपेंद्र gopendra
गोपेश gopesh
गोपेश्वर gopeshwar
गोपीचंद्र gopichandra
गोपीनंदन gopinandan
गोपीराम gopiram
गोपीचंद gopichand
गोपीनाथ gopinath
गोरा gora
गोरख gorakh
गोरखनाथ gorakhnath
गोक्षनराज gokshanraj
गोस्वामी goswami
गौरव gaurav
गौरवपती gauravpati
गौरीशंकर gaurishankar
गोशनराज goshanraj
गौतम gautam
गोवर्धन govardhan
गोविंद govind
गोविंददास govinddas
गोविंदहरी govindhari
गोविंदनारायन govindnarayan
गोविंदशरन govindsharan
गोविंदा govinda
गोविंदन govindan
गोविंदराज govindraj
गोविंददास govinddas
गोवळ goval
गृहस्पती gruhaspati
गुजामल gujamal
गुल gul
गुलाब gulab
गुलाबराव gulabrao
गुलफाम gulpham
गुलशन gulshan
गुलजार guljar
गुलजारीलाल guljarilal
गुनप्रीया gunpriya
गुनाकर gunakar
गुनालन gunalan
गुनसुंदर gunsundar
गुनवंत gunvant
गुनवंता gunvanta
गुनवर्धन gunwardhan
गुनवर्मा gunvarma
गुनबिर gunbir
गुनेंदु gunendu
गुणेश्वर guneshwar
गुनिदास gunidas
गुंजक gunjak
गुंजन gunjan
गुंजित gunjit
गुनकर gunkar
गुनप्रीत gunpreet
गुनसागर gunsagar
गुरुबचन gurubachan
गुरुबक्ष gurubaksh
गुरुचरण gurucharan
गुरुदास gurudas
गुरुदीप gurudip
गुरुदेव gurudeo
गुरुदत्त gurudutt
गुरुजन gurujan
गुरुजीत gurujit
गुरुजीवन gurujivan
गुरमुख gurmukh
गुरिप्रीत guripreet
गुरुराज gururaj
गुरुमुर्ती gurumurti
गुरुवीर guruvir
ग्यान gyan
ग्यानदीप gyandeep
ग्यानपती gyanpati
ग्यानप्रकाश gyanprakash
ग्यानंद gyanand
ग्यानचंद्र gyanchandra
ग्यानेश gyanesh
ग्यानी gyani
ग्यानेश्वर gyaneshwar
गगनमणी gaganmani
गजवदन gajvadan
गंगाशरन gangasharan
गोचरन gocharan
गोकरन gokaran
गुनरतन gunratan
गणेशप्रसाद ganeshprasad
गोकुलप्रसाद gokulprasad
गोपालप्रसाद gopalprasad
गोविंदप्रकाश govindprakash
गोपालस्वरुप gopalswarup
गोविंदस्वरुप govindsvarup
गिरिजाकिशोर girijakishor
गिरिराजकिशोर girirajkishor
गोविंदवल्लभ govindvallabh
गुननिधी gunnidhi
गुणदीप gundip
गुरविंदर gurvindar
गुरमीत gurmit
ग्यानदेव gyandeo
ग्यानधन gyandhan
ग्यानदत्त gyandutt
ग्यानमुर्ती gyanmurti
हबीब habib
हकीम hakim
हलिम halim
हमदम hamdam
हमीद hamid
हमिद hamid
हमशद hamshad
हमजाह hamjah
हनिफ hanif
हंस hans
हंसराज hansraj
हंशल hanshal
हनुमंत hanumant
हनुमंतदास hanumantdas
हनुमंतराय hanumantray
हनुमान hanuman
हरप्रसाद harprasad
हरस्वरुप harswarup
हरानंद haranand
हरजोत harjot
हरकीरत harkirat
हर्केश harkesh
हरकिरण harkiran
हरमंदर harmandar
हरमीत harmit
हरमेंद्र harmendra
हरनाम harnam
हरपाल harpal
हर्ष harsh
हर्षा harsha
हर्षद harshad
हर्षल harshal
हरशरण harsharan
हर्षिल harshil
हर्षित harshit
हर्सुल harsul
हर्सित harsit
हर्शित harshit
हरसुख harsukh
हसन hasan
हाशिम hashim
हशमत hashmat
हसित hasit
हसवंत hasvant
हातिम hatim
हजरत hajrat
हीर hir
हीरा heera
हीरालाल hiralal
हीरक hirak
हीरेंद्र hirendra
हीत hit
हेम hem
हेमलता hemlata
हेमचंद्र hemchandra
हेमप्रकाश hemprakash
हेमसागर hemsagar
हिमांचल himanchal
हेमांग hemang
हेमांगद hemangad
हेमंत hemant
हेमेंदु hemendu
हेमगिरी hemgiri
हेमिश hemish
हेमकर hemkar
हेमराज hemraj
हेरंब heramb
हिलाल hilal
हिम him
हिमाज himaj
हिमघन himghan
हिमकर himkar
हिमालसी himalasi
हिमानिश himanish
हिमांशु himanshu
हिमसागर himsagar
हिमायत himayat
हिमवंत himvant
हिमेश himesh
हिम्मत himmat
हिमोनीश himonish
हिरण hiran
हिरण्या hiranya
हिरेन hiren
हिरेश hiresh
हिमय himay
हिशाम hisham
हितेश hitesh
हितेश्वर hiteshwar
हिरालाल hiralal
हिरानंद hiranand
हीरकनी hirkani
हृदयेश hridyesh
हृदय hriday
हृदयनाथ hridaynath
ह्रीदयानंद hridayanand
ह्रिदयेश hridyesh
हृदयेश्वर hridayeshwar
ह्रिशी hrishi
ह्रिशिकेश hrishikesh
ह्रितिक hritik
ह्रतिक hratik
हुसैन husain
हसम hasam
हरबिंदर harbindar
हरबिर harbir
हरचरण harcharan
हरदास hardas
हरदीप hardip
हरदेव hardeo
हरधिन hardhin
हार्दिक hardik
हरदित hardit
हरमेंद्र harmendra
हरीश harish
हरेकृष्णा harekrishna
हरेंद्र harendra
हरेश haresh
हरगुन hargun
हरी hari
हरिनारायन harinarayan
हरिप्रसाद hariprasad
हरिशंकर harishankar
हरिवल्लभ harivallabh
हरिश्चंद्र harishchandra
हरिचरन haricharan
हरिदास haridas
हरिदेव harideo
हरिदत्त haridutt
हरिहर harihar
हरिहरराव hariharrao
हरजी haraji
हरकांत harkant
हरिकिरन harikiran
हरिकृष्णा harikrishna
हरिनाम harinam
हरिनाथ harinath
हरित harit
हरजीत harjit
हरिवंश harivansh
हरजप harjap
हरजीवन harjivan
हरभजन harbhajan
हर्षवर्धन harshwardhan
हजरत hajrat
हरज्योत harjyot
हरप्रीत harpreet
हेमवतीनंदन hemvatinandan
रुपवती rupvati
हरीहरानंद hariharanand
ह्रिदयनाथ hridaynath
ह्रितविक hritvik
हुसैन husain
हृदयेश hridyesh
ईब्राहीम ibrahim
ईब्राहिम ibrahim
ईशान ishan
ईजय ijay
ईक्षु ikshu
ईक्षुद ikshud
ईलाचंद्र ilachandra
ईलामुखी ilamukhi
ईलामुरुगन ilamurugan
ईलेश ilesh
ईमाद imad
ईमादऊद्दीन imaduddin
ईमान iman
ईम्रान imran
ईम्तीयाज imtiyaz
ईम्तीवाज imtiwaj
ईना ina
ईनास inas
इंदरजीत indarjeet
इंदरप्रीत indarpreet
इंदरवीर indarveer
इंदिवर indiwar
इंद्र indra
इंद्रकुमार indrakumar
इंद्रनारायन indranarayan
इंद्रपाल indrapal
इंद्रप्रकाश indraprakash
इंद्रप्रताप indrapratap
इंद्रसेन indrasen
इंद्रदेव indradeo
इंद्रदत्त indradutt
इंद्रज indraj
इंद्रजीत indrajit
इंद्रनील indranil
इंद्रनुज indranuj
इंद्रवन indravan
इंद्रेश indresh
इंदुप्रकाश induprakash
इंदुकांत indukant
इंदुकर indukar
इंदुलाल indulal
इंदुमल indumal
इंदुमणी indumani
इंदुमती indumati
इंदुमित्र indumitra
इंदुपाल indupal
इंदुरत्न induratna
इंदुवदन induvadan
इंदुवत induvat
ईनेश inesh
ईनोदय inoday
इराई irai
इरावन iravan
इरावत iravat
इरावती iravati
इराम iram
ईरेश iresh
इरफान irfan
ईशांत ishant
ईशाम isham
ईशत ishat
इशयु ishayu
इशित ishit
ईशु ishu
ईश्वर ishwar
ईश्वरचंद्र ishwarchandra
ईश्वरदास ishwardas
ईश्वरकुमार ishwarkumar
ईश्वरनंदन ishwarnandan
ईश्वरशरन ishwarsharan
ईश्वरप्रसाद ishwarprasad
ईश्वरस्वरुप ishwarswarup
ईश्वरानंद ishwaranand
ईयाद iyad
ईय्याप्पन iyyappan
ईकरुप ikrup
ईकबाल ikbal
ईर्षाद irshad
ईशरत ishrat
ईशप्रीत ishprit
ईस्माइल ismail
जाबिर jabir
जाफर japhar
जब्बार jabbar
जाबेज jabej
जग jag
जगप्रवेश jagpravesh
जगदानंद jagdanand
जगदिश्वर jagdishwar
जगन jagan
जगन्नाथ jagannath
जगतगुरु jagatguru
जगतमोहन jagatmohan
जगतपाल jagatpal
जगतनारायण jagatnarayan
जगतप्रभु jagatprabhu
जगतप्रकाश jagatprakash
जगतवीर jagatveer
जगभुषन jagbhushan
जगदंबाप्रसाद jagdambaprasad
जगदीप jagdip
जगदीश jagdish
जगदेव jagdeo
जगदेश jagdesh
जागर jagar
जगिश jagish
जगजीत jagjit
जगजीव jagjiv
जगजीवन jagjivan
जगमित्र jagmitra
जगमोहन jagmohan
जगनारायन jagnarayan
जगराम jagram
जगराव jagrao
जगरीत jagrit
जगबिहारी jagbihari
जगतार jagatar
जगवीर jagvir
जहागीर jahagir
जहांगीर jahangir
जहान jahan
जहिद jahid
जय jay
जयचंद्र jaychandra
जयदयाल jaydayal
जयगोपाल jaygopal
जयकृष्ण jaykrishna
जयनारायन jaynarayan
जयप्रकाश jayprakash
जयराम jayram
जयहिंद jayhind
जयशंकर jayshankar
जयदीप jaydip
जयदेव jaydeo
जयमान jayman
जयनेंद्र jaynendra
जयपाल jaypal
जयप्रीत jaypreet
जयप्रीया jaypriya
जगनिवास jagniwas
जयराज jayraj
जयसाल jaysal
जयसुख jaysukh
जयवाल jaywal
जयवंत jayvant
जयवर्धन jaywardhan
जयवीर jayvir
जयभुषन jaybhushan
जलाल jalal
जलाद jalad
जलाज jalaj
जलधर jaldhar
जलेंदर jalendar
जलेंधु jalendhu
जलेंद्र jalendra
जलेश jalesh
जलील jalil
जलमुर्ती jalmurti
जलपती jalpati
जमाल jamal
जमालऊद्दीन jamaluddeen
जमिल jamil
जनक janak
जानकी janaki
जानकीभुषन janakibhushan
जानकीनाथ janakinath
जानकीप्रसाद janakiprasad
जानकीरमन janakiraman
जानकीशरन janakisharan
जानकीवल्लभ janakivallabh
जन्मेजया janmejaya
जन्मेजय janmejay
जनप्रीया janpriya
जनेंद्र janendra
जनेश janesh
जंगबहादुर jangbahadur
जंगीलाल jangilal
जंगजीत jangjit
जपबिर japbir
जपीश japish
जपेंद्र japendra
जपेंद्रु japendru
जपेश japesh
जपजोत japjot
जपज्योत japjyot
जपलीन japlin
जस jas
जसबिर jasbir
जसदीप jasdip
जश jash
जसकरन jaskaran
जसकीरत jaskirat
जसलीन jaslin
जसनाम jasnam
जसपाल jaspal
जसप्रीत jaspreet
जसराज jasraj
जसवीर jasvir
जसविंदर jasvindar
जसवंत jasvant
जतन jatan
जतिल jatil
जतिन jatin
जतिंदर jatindar
जतिंद्र jatindra
जवारिस javaris
जावेद javed
जवेश javesh
जवाद javad
जवाहर javahar
जय jay
जयदित्य jayditya
जयद्रथ jaydrath
जयकुमार jaykumar
जवहर javhar
जीत jit
जीतेश jitesh
जीवन jivan
जीवनप्रकाश jivanprakash
जीवेश jivesh
झूलेलाल zulelal
झंडुमल zandumal
जिआ jia
जिआलाल jialal
जिगर jigar
जिग्यासु jigyasu
जिहाद jihad
जिनेंद्र jinendra
जिष्णु jishnu
जितेंद्र jitendra
जितेश jitesh
जिवज jivaj
जिवल jival
जिवितेश्वर jiviteshwar
जिवराज jivraj
जनार्धन janardhan
जोध jodh
जोगेश्वर jogeshwar
जोगी jogi
जोगींदर jogindar
जोगेश्वर jogeshwar
जोयदीप joydip
जुबेर juber
जुगल jugal
जुगलकिशोर jugalkishor
जितेंदर jitendar
जिवितेश jivitesh
जोगेश jogesh
जोगराज jograj
जुगनु juganu
जुमाह jumah
ज्वाला jwala
ज्वालादास jwaladas
ज्वालेश्वर jwaleshwar
ज्योती jyoti
ज्योतीप्रकाश jyotiprakash
ज्योतीरंजन jyotiranjan
ज्योतीस्वरुप jyotiswarup
ज्योतिर्मय jyotirmay
ज्योतिर्वसु jyotirvasu
ज्वालाप्रसाद jwalaprasad
जयदित्य jayditya
जयद्रथ jaydrath
जयकुमार jaykumar
जयंत jayant
जयंती jayanti
जयेंद्र jayendra
जयेश jayesh
जयेश्वर jayeshwar
झगनलाल zaganlal
भजनलाल bhajanlal
कालीपती kalipati
कालीराम kaliram
कालीराव kalirao
कालीदास kalidas
कालोजी kaloji
कामराज kamraj
कामिल kamil
कार्तिक kartik
कार्तिकेय kartikey
काशी kashi
कश्यप kashyap
कबीर kabir
कदंब kadamb
कदंबन kadamban
कादर kadar
केदार kedar
कादिम kadim
कदीप kadip
कदिप kadip
कदीन kadin
कदिन kadin
कादीर kadir
कादिर kadir
काधिर kadhir
केदारेश्वर kedareshwar
केसरी kesari
केशव keshav
केशवमुर्ती keshavmurti
काहिल kahil
कैलाश kailash
कैलाशपती kailashpati
कैरव kairav
कला kala
कलाधर kaladhar
कलानिधी kalanidhi
कलापती kalapati
कलाकार kalakar
कलामेगम kalamegam
कलावती kalavati
कलानाथ kalanath
कल्यानी kalyani
कलप kalap
कलप्पन kalappan
कलश kalash
कलाथीनाथन kalathinathan
कलावंत kalavant
कलेश kalesh
कलहान kalhan
काळहंस kalhans
कालीचरन kalicharan
कालीमोहन kalimohan
कालीमुथु kalimuthu
कालीनाथ kalinath
कालींद kalind
कालीपद kalipad
कालीक kalik
कालीरंजन kaliranjan
कल्पक kalpak
कल्पतरु kalpataru
कल्पेश kalpesh
कल्पित kalpit
कालतन kaltan
कालु kalu
कल्यान kalyan
काळयोगी kalyogi
कामेश kamesh
कमल kamal
कमलबंधु kamalbandhu
कमलकांत kamalkant
कमलनाथ kamalnath
कमलेश kamalesh
कामलाल kamlal
कमला kamala
कामथ kamath
कामबान kamban
कामदेव kamdeo
कामेश kamesh
कामेश्वर kameshwar
कामिल kamil
कामीनी kamini
कामीनीकांत kaminikant
कामीनीश kaminish
कामजीत kamjit
कमलनयन kamalnayan
कमलाज kamalaj
कमोद kamod
कामपाल kampal
कामराज kamraj
कामरान kamran
कामसुत kamsut
कानंद kanand
कनक kanak
कनकभुषन kanakbhushan
कनकराव kanakrao
कंदन kandan
कंदर्प kandarp
कान्हा kanha
कन्हैया kanhaiya
कनिष्का kanishka
कान्होपात्रा kanhopatra
कानी kani
कंजक kanjak
कंजन kanjan
कंजवदन kanjvadan
कंकेंदु kankendu
कानन kanan
कांत kant
कांतीकर kantikar
क्रांती kranti
कांतीमान kantiman
कानु kanu
कंवर kanwar
कंवल kanwal
कपाल kapal
कपाली kapali
कपिंद्र kapindra
कपीश kapish
कपीश्वर kapishwar
कपिल kapil
कपिलेश kapilesh
कपिलन kapilan
कपिलांजन kapilanjan
कपिलेश्वर kapileshwar
कपिलेय kapiley
कपलेश kaplesh
करम karam
करीम karim
करीश karish
करिफ karif
करिम karim
करिकलन karikalan
कैष्नु kaishnu
कर्मवीर karmavir
कर्मेंद्र karmendra
कर्मजित karmajit
कर्ण karna
कर्णप्रीया karnapriya
कर्णदीप karnadip
कर्णपाल karnapal
कर्णवीर karnavir
कर्तार kartar
कनैया kanaiya
कंवलजीत kanwaljeet
कवलप्रीत kavalpreet
कवलजीत kavaljeet
कवलजित kavaljit
करमदीप karamdeep
करमजोत karamjot
कमलकिशोर kamalkishor
कमललोचन kamallochan
कमलनाथ kamalnath
कमला kamala
कमलापती kamalapati
कमलाकश kamalakash
कमलेश्वर kamaleshwar
कमलजोत kamaljot
कमलज्योत kamaljyot
कमलोत्तम kamalottam
कमलजीत kamaljeet
कार्थीक kartheek
कार्थिक karthik
कार्तिक kartik
कार्तिकेय kartikey
करुन karun
करुनाकर karunakar
करुनामाया karunamaya
करुनानीधी karunanidhi
करुनाशंकर karunashankar
करुनेश karunesh
करुप्पन karuppan
कासिम kasim
कासीम kasim
कासम kasam
दिलदार dildar
दिलदारखान dildarkhan
हाशिम hashim
काशी kashi
काशीप्रसाद kashiprasad
काशिफ kashif
काशिनाथ kashinath
काशु kashu
काशिराम kashiram
कासिब kasib
कासीब kasib
कसाब kasab
कासिनाथन kasinathan
काशिनाथन kashinathan
कतेब kateb
कथापेरुमल kathaperumal
कौशल kaushal
कौशिक kaushik
कौस्तुभ kaustubh
कौतिल्य kautilya
कविश kavish
कवी kavi
कविभुषन kavibhushan
कविशेखर kavishekhar
कविद kavid
कनाथ kanath
कविन kavin
कविंद्र kavindra
कविराज kaviraj
कविनंदन kavinandan
कावेरीनंदन kaverinandan
कविवर kavivar
केदार kedar
केदारनाथ kedarnath
कीरण kiran
किरण kiran
कीरत kirat
कीर्तन kirtan
कीर्ती kirti
केसर kesar
केशवदास keshavdas
केशवदत्त keshavdutt
केशवकुमार keshavkumar
केशवनंदन keshavnandan
केशवप्रसाद keshavprasad
केशवशरन keshavsharan
केतक ketak
केतन ketan
केतव ketav
केतु ketu
केतुभ ketubh
केतुमान ketuman
केवल keval
केवलकिशोर kevalkishor
केवलकुमार kevalkumar
केयूर keyur
खादिम khadim
खागेंद्र khagendra
खागेश khagesh
खैरऊद्दीन khairuddeen
खैराती khairati
खैरातीलाल khairatilal
खैरी khairi
खालदून khaldun
खलिल khalil
खलिद khalid
खालिद khalid
खालेद khaled
खलील khalil
खनक khanak
खंजन khanjan
खरांशु kharanshu
खातिब khatib
खेमचंद khemchand
खेमप्रसाद khemprasad
खेमप्रकाश khemprakash
खिलाडीलाल khiladilal
खूबचंद khubchand
खुशाल khushal
खुशिराम khushiram
खुशवंत khushvant
किरण kiran
किरणमाया kiranmaya
किरत kirat
कीरत kirat
किर्ती kirti
कृपाल kripal
किर्तीवल्लभ kirtivallabh
किर्तीभुषण kirtibhushan
किर्तीदेव kirtideo
किर्तीधर kirtidhar
किर्तीकर kirtikar
किर्तीमान kirtiman
किशालया kishalaya
किशेन kishen
किसना kisana
किसन kisan
किसनलाल kisanlal
किशन kishan
किशनलाल kishanlal
किशोर kishor
किशोरकुमार kishorkumar
कोलप्पन kolappan
कोमल komal
कोमन koman
कोमडप्पा komdappa
कुरमाधी kurmadhi
कुलठाण kulthan
कोवालन kowalan
कोवेंदन kovendan
कृपा kripa
कॄपासिंधु krupasindhu
कृपालु kripalu
कृपानीधी kripanidhi
कृपाराम kriparam
कृपासागर kripasagar
कृश krish
कृशानु krishanu
कृशव krishav
कृशय krishay
कृष्ण krishna
कृष्णचंद्र krishnachandra
कृष्णदेव krishnadeo
कृष्णकांत krishnakant
कृष्णकिशोर krishnakishor
कृष्णकुमार krishnakumar
कृष्णमुर्ती krishnamurti
कृष्णदास krishnadas
कृष्णदत्त krishnadutt
कृष्णमनी krishnamani
कृष्णमित्र krishnamitra
कृष्णानंद krishnanand
कृष्णनंदन krishnanandan
कृष्णरुप krishnarup
कृतार्थ kritarth
कृतीनिधी kritinidhi
कृतिका kritika
किर्तीमान kirtiman
क्रपाल krapal
क्रपालराव krapalrao
क्रुनाल krunal
कृपादास kripadas
क्षीरसागर kshirsagar
क्षिमेंद्र kshimendra
क्षिराज kshiraj
क्षेत्रपाल kshetrapal
क्षितींद्र kshitindra
कुमारराव kumarrao
कुबेर kuber
कुबेरदत्त kuberdutt
कुक्टेश्वर kukteshwar
कुकुल kukul
कुलदीप kuldip
कुलंदाईस्वामी kulandaiswami
कुलभुषण kulbhushan
कुलकर्णी kulkarni
केशराज keshraj
केवलानंद kevalanand
खालसा khalasa
खूबसींग khubsingh
खुशप्रीत khushpreet
कृष्णेंदु krishnendu
क्षितिज kshitij
कुकुटबिहारी kukutbihari
पानवलकर panwalkar
लालन lalan
लब्ध labdha
लब्धकिर्ती labdhakirti
लाभ labh
लबिब labib
लाड lad
लगन lagan
लगनलाल laganlal
लघु laghu
लंगत langat
लहरी lahari
लाजपथ lajpath
लखन lakhan
लखनलाल lakhanlal
लखबिर lakhbir
लक्ष्य lakshya
लक्षण lakshan
लक्षय lakshay
लक्षिण lakshin
लक्षक lakshak
लक्षित lakshit
लक्ष्मन laxman
लक्ष्मनदास laxmandas
लक्ष्मनदत्त laxmandutt
लक्ष्मनकिशोर laxmankishor
लक्ष्मनकुमार laxmankumar
लक्ष्मीपती laxmipati
लक्ष्मीकांत laxmikant
लक्ष्मीधर laxmidhar
लक्ष्मी laxmi
लक्ष्मि laxmi
लक्ष्मीदत्त laxmidutt
लक्ष्मीगोपाल laxmigopal
लक्ष्मीनारायण laxminarayan
लक्ष्मीनाथ laxminath
लक्ष्मीनिधी laxminidhi
लक्ष्मीनिवास laxminiwas
लक्ष्मीप्रसाद laxmiprasad
लक्ष्मीपुत्र laxmiputra
लक्ष्मीराज laxmiraj
लक्ष्मीरमण laxmiraman
लक्ष्मीसहाय laxmisahay
लक्ष्मीवल्लभ laxmivallabh
लक्ष्मीविलास laxmivilas
लक्षव lakshav
लालतक्ष laltaksh
लालचंद्र lalchandra
ललित lalit
ललितभुषण lalitbhushan
ललितचंद्र lalitchandra
ललितकिशोर lalitkishor
ललितकुमार lalitkumar
ललितलोचन lalitlochan
ललितमोहन lalitmohan
ललितादित्य lalitaditya
लालीताक्ष lalitaksh
लल्लान lallan
लंबन lamban
लंबोदर lambodar
लंकेश lankesh
लसक lasak
लतीफ latif
लतिफ latif
लव lav
लवकिशोर lavkishor
लवकुमार lavkumar
लावण्य lavanya
लावण्यवती lavanyavati
लवित्र lavitra
लीला leela
लीलानारायन lilanarayan
लीलाधर liladhar
लीलांबुज lilambuj
लेखपाल lekhpal
लेखराज lekhraj
लिखित likhit
लिंगम lingam
लिंगममुर्ती lingammurti
लिंगन lingan
लिंगेसन lingesan
लोचन lochan
लोचनप्रसाद lochanprasad
लोकनाथ loknath
लोकेश्वर lokeshwar
लोहित lohit
लोहितंग lohitang
लोकबंधु lokbandhu
लोकभुषण lokbhushan
लोकेश lokesh
लंकेश्वर lankeshwar
बेलेश्वर beleshwar
ओंकारेश्वर onkareshwar
त्र्यंबकेश्वर tryambakeshwar
घृष्णेश्वर ghrishneshwar
लोकजीत lokjit
लोकपाल lokpal
लोकपती lokpati
लोकराज lokraj
लोकरंजन lokranjan
लोकप्रदीप lokpradeep
लिंगप्पन lingappan
माधव madhav
मधुर madhur
मानसिंग mansingh
मानराव manrao
मानदेव mandeo
मारन maran
मरी mari
मरीआई mariai
मार्तंड martand
मारुतीराव marutirao
मावळन mavlan
माजिन majin
मदन madan
मदनमोहन madanmohan
मदनपती madanpati
माधवदास madhavdas
माधवप्रसाद madhavprasad
माधवन madhvan
माधवीशरन madhavisharan
माधो madho
माधोप्रसाद madhoprasad
मधु madhu
मधुजीत madhujit
मधुकांत madhukant
मधुकर madhukar
मधुल madhul
मधुमती madhumati
मधुपती madhupati
मधुरनाथ madhurnath
मधुरम madhuram
मधुसुदन madhusudan
मधुवर्ण madhuvarna
मंगलेश manglesh
मगन magan
माघ magh
महाहंस mahahans
महाविक्रम mahavikram
महान mahan
महाबाहु mahabahu
महाबल mahabal
महाबली mahabali
महाभद्र mahabhadra
महादेव mahadeo
माहिमदार mahimdar
महाकांत mahakant
महाकेतु mahaketu
महाक्रम mahakram
महामाघ mahamagh
महामानव mahamanav
महामणी mahamani
महामेरु mahameru
महामती mahamati
महामुर्ती mahamurti
महानंद mahanand
महानंदा mahananda
महानारायण mahanarayan
महानिळ mahanil
महानेत्र mahanetra
महानंदी mahanandi
महंत mahant
महाप्रभु mahaprabhu
महाराज maharaj
महाराणा maharana
महारुप maharup
महर्षी maharshi
महासेन mahasen
महाशवा mahashava
महाश्री mahashri
महात्रु mahatru
महावीर mahavir
महावेग mahaveg
महाविर mahavir
महाव्रत mahavrat
महीदास mahidas
महीदेव mahideo
महीधर mahidhar
महीनाथ mahinath
महींद्र mahindra
महीप mahip
महीपाल mahipal
महीपती mahipati
महीश mahish
महीश्वर mahishwar
महीसुर mahisur
महेंद्र mahendra
महेंद्रप्रताप mahendrapratap
महेश mahesh
महेशबंधु maheshbandhu
महेशकुमार maheshkumar
महेशदत्त maheshdutt
महेशकिशोर maheshkishor
महेशकुमार maheshkumar
महिदेव mahideo
महिलन mahilan
महिमान mahiman
महीमती mahimati
महिंदर mahindar
माहीर mahir
महिलन mahilan
महिंदर mahindar
माहीर mahir
महिराज mahiraj
महीश mahish
महीत mahit
महमुद mahmud
महताब mahtab
मैनक mainak
मैत्रेय maitrey
माणिक manik
माणिकराव manikrao
माणिकनंदन maniknandan
मानीक्कम manikkam
माणिक्य manikya
मनीमरन manimaran
मनिष manish
मनिशी manishi
मानीत manit
मंजित manjit
मंजोत manjot
मंजुदेव manjudeo
मंजुगोश manjugosh
मंजुनाथ manjunath
मनमाधव manmadhav
मनमाधवराव manmadhavrao
मनमीत manmit
मनमोहन manmohan
मनन manan
मनु manu
मन्नु mannu
मनोधर manodhar
मनोहर manohar
मनोज manoj
मनोहारी manohari
मनोनीत manonit
मनोराज manoraj
मनोराम manoram
मनोरंजक manoranjak
मनोरंजन manoranjan
मनोरथ manorath
मनोवल्लभ manovallabh
मनसुख mansukh
मंसुर mansur
मनुजी manuji
मनुराज manuraj
मनवेंद्र manvendra
मनवेश manvesh
मनवीर manvir
मन्यु manyu
मराज maraj
मार्केंडय markenday
मरुदन marudan
मरुदेवा marudeva
मरुधर marudhar
मारुत marut
मारवान marwan
मस्तान mastan
मस्तक mastak
मस्तक mastak
मस्तवीर mastaveer
माताप्रसाद mataprasad
माऊजी mauji
मौली mauli
मौलीचंद्र maulichandra
मौलीक maulik
माया maya
मायाशंकर mayashankar
मायाधर mayadhar
मायानाथ mayanath
मयंक mayank
मायापती mayapati
मायास mayas
मायेश्वर mayeshwar
मयूर mayur
मयुर mayur
मायुख mayukh
मीत mit
मेघनंदन meghnandan
मेघ megh
मेघनाथन meghnathan
मेघानंद meghanand
मेघदत्त meghdutt
मेघदूत meghdut
मेघांद meghand
मेघनाथ meghnath
मेघराज meghraj
मेहबूब mehbub
मेहताब mehtab
मेहुल mehul
मेवा meva
मेवालाल mewalal
मिधिलेश midhilesh
मिहिरम mihiram
मिकुल mikul
मिलारी milari
मिलाप milap
मिलिंद milind
मिर्झा mirza
मिसबाह misbah
मिश्री mishri
मिथिल mithil
मिथिलेश mithilesh
मिथिलेश्वर mithileshwar
मिथुन mithun
मित्रानंद mitranand
मिथून mithun
मित्रभानु mitrabhanu
मित्रदेव mitradeo
मित्रसेन mitrasen
मित्रवसु mitravasu
मितुल mitul
मोहक mohak
मोहल mohal
मोहम्मद mohammad
मोहन mohan
मोहीन mohin
मोहींदर mohindar
मोहित mohit
मोक्षित mokshit
मोमिन momin
मोती moti
मोतीलाल motilal
मृणालीणी mrinalini
मृदुल mridul
मृगलोचन mriglochan
मृगाई mrigai
मृगंक mrigank
मृगपती mrigpati
मृगपती mrigpati
मृगेंद्र mrigendra
मृगेश्वर mrigeshwar
मिनल minal
मृनाल mrinal
मृनांक mrinank
मृत्युंजय mrityunjay
मुबारक mubarak
मृन्मय mrinmay
मुचकुंद muchkund
मधुलवन madhulvan
मुदिल mudil
मुदित mudit
मुफिद muphid
मुहानंद muhanand
मुशिन mushin
मुजाहिद mujahid
मुकेश mukesh
मुख्तार mukhtar
मुक्री mukri
मुक्तमणी muktamani
मुक्तांद muktand
मुक्तेश muktesh
मुकुल mukul
मुकुम्दम mukumdam
मुकुंद mukund
मुकुंदमणी mukundmani
मुकुर mukur
मुकुट mukut
मुलायम mulayam
मुनावर munawar
मुनिर munir
मुनिश munish
मुनीशवार munishwar
मुंगेरीलाल mungerilal
मुनी muni
मुनीदेव munideo
मुनिंद्र munindra
मुनिर munir
मुनीराज muniraj
मुन्ना munna
मुन्नीलाल munnilal
मुरारी murari
मुरलिधर muralidhar
मुरलीप्रसाद muraliprasad
मुरली murali
मुरारीलाल murarilal
मुरुगन murugan
मुरुगु murugu
मुसा musa
मुसद musad
मुस्ताफा mustapha
मुस्ताक mustak
मुथु muthu
मुवाफक muwaphak
नादीर nadir
नागार्जुन nagarjun
