अनुत्तम anuttam
अलिबाग alibag
किंग्स्टन kingston
बंशिक banshik
लोहटा lohata
वेंकटेश्वर venkteshwar
क्रिस्टोफर christopher
कृष्णा krishna
रियासत riyasat
रेणु renu
साज़ saaz
मेंधोशी mendhoshi
सुमित sumit
अकलोली akloli
नीरा neera
कमोदी kamodi
कल्पतरु kalpataru
ढेकणे dhekne
मरडसगाव mardasgaon
नोलेटा noleta
श्रीकांत srikkanth
मुरडे murade
चिंचकोटा chinchkota
गियाना gianna
वन one
कुभांड kubhand
बांकेबिहारी baankebihaaree
वैरा vaira
प्रेमप्रकाश premprakash
प्रेमियो premio
नस्र nasr
महिंद्रा mahindra
मुकाबला muqabla
रतलाम ratlam
मेल्बॉर्न melbourne
मोतीलाल motilal
दर्शनिया darshaniya
गुजरी gujri
रघुराई raghuraaee
विमल vimal
तपस्वीनी tapaswini
विणवळ vinval
जानापूर janapur
कांडा kanda
सुगौरी sugauri
मोहाड mohad
इन्दुमति indumati
सईद saeed
ढोबळे dhobale
जूलियन julian
भरतपुर bharatpur
हर्षिल harshil
टर्किश turkish
बोरज्वाला borjwala
सराफवाडी saraphwadi
जीता jeeta
सरोवर sarowar
ग्रुप group
जळगावसुपा jalgavsupa
अभिनाथ abhinaath
धर्मनंदन dharmanandan
रुहीका ruhika
राणी rani
मनु manu
दुब्बमाजरा dubbamajara
वंशलोचन vanshlochan
तेरुंगन terungan
मैंबो mambo
सेखवा sekhwa
कांतीबाला kantibala
कुपता kupata
चावरा chawara
माथाचीवाडी mathachiwadi
एल्बेमारले albemarle
चार्ल्स charles
अपरा apara
लिवदीप livdip
गुड़िया gudia
बैज़ा baiza
लक्ष्मीनारायण laxminarayan
मार्तंड martand
रशीद rasheed
रे ray
क़यामत qayamat
पळसुंदे palsunde
गुलाम gulam
नंदोरे nandore
एलेगाव elegaon
फलौदी falaudi
ब्रायन brian
माउंट mount
मदनपूर madanpur
इंटरनेशनल international
नौबतपूर naubatpur
सर्वे sarve
क्वीले kville
बाळसाखुर्द balsakhurd
ल्यूक्रेस lucrece
तरुणा taruna
रोजामणी rojamani
चहादु chahadu
फैज़ल faisal
तुषिता tushita
इन in
शादी shadi
कापरा kapara
नागझरी nagzari
जयपद्मा jaypadma
अजमेर ajmer
परशूराम parshuram
इंद्र indra
डेमिया damia
शालिकराम shalikram
इसौरा isaura
करेज courage
गंज ganj
नांदुरखंदरमाळ nandurkhandarmal
खान khan
अनिरुद्ध aniruddha
टू two
धामनगाव dhamangaon
गाडगीळ gadgil
विलेम willem
मनश्चक्षु manaakshu
दसाडा dasada
कांगुडवाडी kangudwadi
पल्लू pallu
रोशनी roshani
भुवन्यु bhuvanyu
यूनिवर्सिटी university
ऑडर order
करणवाडी karanwadi
रमीज़ ramiz
बैकुंठपुर baikunthpur
एल्बनी albany
सुव्रता suvrata
टेस tess
पायोजा payoja
गजाधर gajadhar
मिकॅनर michener
लंका lanka
कान्सास kansas
करीम karim
नेब्रास्का nebraska
निरंजन niranjan
निहीडा nihida
अनुतोश anutosh
छू chhoo
व्योमेश vyomesh
रती rati
मंगनाली mangnali
वाडेगव्हाण wadegavhan
तिलक tilak
परवा parava
केदारकुंथा kedarkuntha
पीअर्स peers
विठ्ठल vitthal
स्कूल school
धरखेडा dharkheda
वैजुबाभुळगाव vaijubabhulgaon
उंब्रज umbraj
छिहरटा chhiharta
बडगी badagi
प्रथ्वी prathvi
निषाद nishad
जसलीन jaslin
दौलतपूर daulatpur
रायतेवाडी raytewadi
बळीराम baliram
हिसुआ hisua
साखरतर sakhratar
खड़कवासला khadakwasla
फ्ल्यूट्स flutes
फैयाज faiyaz
रत्नेश ratnesh
रतनदीप ratandeep
हिप्परसोगा hipparsoga
मुनिश munish
घावरी ghavri
बावर्ची bawarchi
कामजीत kamjit
बद्रिनारायन badrinarayan
किटू kitu
पुनगाव pungaon
काहाळाबुद्रुक kahalabudruk
देवळी devali
श्रीलेखा shrilekha
आह्लादित aahlaadit
अजाबराव ajabrao
पंढरी pandhari
बालमणि baalamani
बकराह bakarah
टॉरेंट torrent
वडगाव vadgaon
मिस्टी misty
नाइट night
सिरॉको cirocco
तेरे tere
सुशीला sushila
इंद्रायणी indrayani
चोपनवाडी chopanwadi
हिगनीखुर्द hignikhurd
पक्का pucca
ब्रहस्पती brahaspati
अभिमन्यु abhimanyu
खानाव khanav
सीताफलमंडी sitaphalmandi
मधुपुष्पा madhupushpa
यामिका yamika
सेरेंगेती serengeti
गुमा guma
सितमौ sitamau
कीरतपुर keeratpur
युक्ता yukta
नागनगाव nagangaon
शांतनु shantanu
वासुकी vasuki
माधव madhav
बसव basav
विद्यासागर vidyasagar
ऑफ of
कामयाब kamyab
अविकांत avikant
चंदा chanda
यशोदा yashoda
प्रेम prem
मोधी modhi
नंदगोपाल nandgopal
पुरकर purkar
सजीली sajili
कासा kasa
आनंदलीन anandleen
कान्हा kanha
फेस्टिवल festival
धाम dham
गोलाम gholam
बान baan
सनमडी sanmadi
प्रकर्षा prakarsha
मिस miss
अर्ज़रज़ोग erzherzog
नायगावखुर्द naygavkhurd
करंदोशी karandoshi
अभिरुची abhiruchi
ईस्टर easter
अशोक ashoka
अलोयसियस aloysius
वसुंडे vasunde
अरूण arun
चित्र chitra
फणिनाथ fhaninath
नारायण narayan
फोर्ट fort
स्कीइंग skiing
पटनी patni
मावडी mawadi
कालिदास kalidas
श्रीपद shripad
कांत kant
ऑफ of
एवरली everly
एमीरेट्स emirates
वर्जिल virgil
राजहरा rajhara
ब्रह्मा brahma
नुदार nudar
लोहगाव lohgaon
खागेश khagesh
नाकाशी nakashi
आदमी aadmi
हिवरागडलिंग hivragadling
एक ek
कौस्तुभ kaustubh
असंभव asambhav
गुरहळ gurhal
खैर khair
सम्राट samrat
ब्रदर brothers
जय jai
पैदा paida
घर ghar
अद्रिना adrina
ऋषि rishi
पतियाली patiyali
शकील shakeel
आष्टी ashti
अकंद akand
फकीह fakih
पाचगणी pachgani
फूल phool
अनारी anari
मेडल medal
पृथ्वीपुर pruthvipur
रूपमाला rupmala
प्रेम prem
साहिब sahib
गंगोत्री gangotri
बकीर bakeer
नासमझ nasamajh
भ्रमनी bhramani
पिंपरखेड pimparkhed
स्टेट्स states
न्यूकैसल newcastle
त्रिंबिका trimbika
धंधेरा dhandhera
पल्लवी pallavi
हंट hunt
मंजुबाला manjubala
इंश्योरेंस insurance
साधना sadhana
जेल jail
जंक्शन junction
चित्राली chitrali
कोलड kolad
निमिता nimita
गनेगामा ganegama
भद्ररुपा bhadrarupa
देवनीखुर्द devnikhurd
दर्या darya
अरुना aruna
तुम tum
चपलम chaplam
हरबिंदर harbindar
विजयदुर्गा vijaydurga
उर्शिला urshila
शॉ shaw
ओक oak
हरकिरत harkirat
प्यार pyar
घोरड ghorad
पुयना puyana
लिमिटेड limited
कुशिरेठाणे kushirethane
आलोक alok
गंगाधर gangadhar
रुंभोडी rumbhodi
मालदन maldan
अज्गेन ajgain
भजनानंद bhajananand
अपोलो apollo
बेचारा bechara
बुजरुकवाडी bujrukwadi
विथ wyeth
बाय buy
तलाई talai
अनन anan
चिमनीमानी chimanimani
सारीका sarika
सगन sagan
कहार qahhar
ट्रायना tryna
सन्वर sanwar
नईम naeem
खाडंबेबुद्रुक khadambebudruk
रिंगे ringhe
फेलेटी feleti
म्युज़ियम museum
काएलन caelan
गाडीबोरी gadibori
बरुणा baruna
औरैया auraiya
भुविता bhuvita
डेल्ही daily
सुमिटोमो sumitomo
टिटमस titmus
नवापुर navapur
कोलाळे kolale
लोकादि lokadi
फ्रान्सिस्को francisco
सोनी sony
जेनिबेल jenibelle
हंशल hanshal
रूप rup
लालकुआ lalkua
ज्ञानगंगापूर dnyangangapur
जलेंद्र jalendra
भेंडेवाडी bhendewadi
पतखळवाडी patkhalwadi
जगन jagan
आवारागर्दी awaragardi
हरीप्रिया haripriya
पेलानका palanca
चिराग chiraag
सेन sen
रुस्तम rustam
शेन shane
देगाव degaon
हिम्मतनगर himmatnagar
नगर nagar
नैदेवी naidevi
कान्हेरी kanheri
तमनेर tamner
रामनगर ramnagar
अलमेडा alameda
पेशवे peshave
टैंगो tango
उसामा usama
पंचगाव panchgaon
पीछा peechha
सेलिमा selima
मुरलीमनोहर muralimanohar
पडाळणे padalne
मानवता manvata
माणिक्य manikya
आचार्यसुता aachaaryasuta
दापोली dapoli
करोळे karole
निळु nilu
राजीव raajiv
कृष्णा krashnaa
धनबाद dhanbad
धर्माबाद dharmabad
जसवीर jasvir
आनंदमयी anandamayi
अल्का alka
कोलोरॅडो colorado
मुंद्री mundri
बावी bavi
मधेवडगाव madhewadgaon
हुसा husa
हतेडीखुर्द hatedikhurd
खालिक khaaliq
बेम्ब्रिज bembridge
पुरस्कार puroskar
खतौली khatauli
रियान ryan
केळवड kelvad
सुवेना suvena
राजुराखुर्द rajurakhurd
गावठा gavatha
ढमढम dhamdham
कैनटॉनमेंट cantonment
टर्मिनस terminus
बन्दारातिलेके bandaratilleke
तय्यबाह taybah
योगवति yogavati
विकल्प vikalp
टागोर tagore
अमरावती amaravati
वक्त waqt
रोड road
साहिर sahir
दोदड़ा dodada
माहुलीकर mahulikar
गोंडेमहागाव gondemahagaon
तिलवारा tilwara
गरम garam
जंक्शन junction
आयलैंड islands
रियाज riyaz
शौकत shaukat
ऑफ of
शेक shake
ओना ona
दान daan
अंगारीता angarita
कोर्टावान kortawan
सिमोना symona
करूँ karoo
रसिका rasika
एक्सेप्शनल exceptional
हिस्टॉरिकल historical
जिया jiya
शुचिस्मिता shuchismita
सहिन sahin
गोंदेगाव gondegaon
ऑडर order
निशिनाथ nishinath
ग्यानलीन gyanleen
मानपडाले manapdale
भदरसा bhadrasa
मगना magana
ग्यानप्रीत gyanpreet
येळी yeli
दुधड dudhad
प्राइज़ prize
अफज़ाल afzaal
नंदन nandan
पेठवडगाव pethwadgaon
प्रकत prakat
मित्रभानु mitrabhanu
वाळवद walwad
ईशरत ishrat
फिलर filler
रुद्र rudra
ह्रीदयानंद hridayanand
ट्रॉफी trophy
नवाज़ nawaz
लैब्स labs
मुक्ताकेशिनी muktakeshini
ऑलेन्डा aulenda
सनग sanag
इस्राएल israel
खुदावाडी khudawadi
नज्दा najdah
हल्लज hallaj
इन in
बोरखेड borkhed
बैटरी battery
से se
पिंपरणवाडी pimpranwadi
महेन्द्रगढ़ mahendragarh
टैवर्न tavern
खडकट khadkat
श्याम shyam
व्हिटिंग whiting
खानविरा khanwira
जैकी jackie
नूर noor
शिकीशिमा shikishima
वृत्ती vritti
सत्यनारायन satyanarayan
पीटर peter
बोरगाव borgaon
चीनी chini
पाडा pada
भद्रा bhadra
एमिस amiss
पूस pus
गोवर्धन govardhan
कल्पक kalpak
वाटेफळ watefal
उनेगा onega
सोफ़िया sofia
मरीन marine
मधु madhu
साइंटीफिक scientific
पालगड palgad
मिशिगन michigan
रतनपुर ratanpur
स्क्विडी squiddy
हुबाब hubaab
रतनजाली ratanjali
करमगति karamgati
अभिनन्दा abhinandaa
डलीगंज daliganj
क्वालिटी quality
धर्मेंद्र dharmendra
जीतेन jeetan
ममता mamta
वार war
डिडवाना didwana
लोकराज lokraj
ए e
पांडुरंग pandurang
यशोधा yashodha
महादुळा mahadula
वॉल्टर walter
दिवटे divate
दो do
सुविनय suvinay
बसवेश्वर basaveshwar
कथापेरुमल kathaperumal
एडिरॉन्डैक adirondack
डेरिक derick
वरुदा varuda
कुमकुम kumkum
वायशेत vayshet
गोशैनगंज goshainganj
पुनीत punit
धर्मेश dharmesh
शत्रुमर्दन shatrumardan
खज़ानची khazanchi
कैलगरी calgary
दिगडी digadi
सापूतारा saputara
यदुवेंद्र yaduvendra
आप aap
खडकसवंगा khadaksavanga
कोळगावथाडी kolgavthadi
देवी devi
हाशिम hashim
जनार्दनराव janardanrao
बीर bir
दालमाऊ dalmau
शिंगवे shingave
की ki
काशील kashil
गौतमनंदन gautamnandan
कोळवण kolwan
अरावली aravalli
मण्डला mandla
शाहाबाद shahabad
त्रिपर्णा triparna
लेंढोरी lendhori
सिद्धामली siddhamalli
सरला saralaa
एक ek
मल mal
बुरांड burand
खुदा khuda
नजिबाह najibah
राळेरस raleras
बहू bahu
बाप baap
हेमंत hemant
अंजनानंदन anjananandan
रॉड rod
कळमनेर kalamner
पाठरा pathara
धनसुख dhansukh
बेलोकार belokar
कदम kadam
ईयर year
थुर्नवाल्ड thurnwald
नांदखेड nandkhed
य़कीन yaqeen
मेमोरियल memorial
ग्रेसी gracie
दुश्मन dushman
विक्ट्री victory
अर्चिवी archivi
गंजुरवाडी ganjurwadi
मानशकर्गा manashkarga
पुष्पमाला pushpamala
मूर्त murt
इंद्रेश indresh
हसीब haseeb
सोमेश्वर someshwar
यारों yaaron
वाटुमोहाई watumohai
करद karad
विकल्प vikalp
माओ mao
काननबाला kananbala
लियाम liam
शिहू shihu
मणिमुथर manimuthar
श्कॉक schock
मुर्भी murbhi
पेंबोरी pembori
फालेगावथेट falegavthet
आवळा avala
जैक jack
टाउन town
काजल kajal
बनास banas
ह्रिदय hriday
अफजलगढ afjalgadh
गोराया goraya
प्रिज़कर pritzker
अंजर anjar
चैपेल chapel
कुंदलवाडी kundalwadi
आलापुर alapur
माला mala
जयश्री jayshri
सिमॉन semon
एण्ड्रयूस andrews
खाननगर khannagar
माळकौठा malkautha
सिरमौर sirmaur
ब्लिक्स blicks
हनिता hanita
ग्वालियर gwalior
रिडाउट redoubt
जशपुरनगर jashpurnagar
पिचाई pichai
बहू bahu
मंडीदिप mandidip
कॉबर्ग coburg
जागर jagar
सुराली surali
मेडल medal
अवार्ड award
उबरगाव ubargaon
नारायण narayan
सुभान subhan
पद्मजा padmaja
मंझानपुर manzanpur
स्टीव steve
वाफी wafi
शालीग्राम shaligram
आह्लादित ahlaadit
रागिनी ragini
मोहम्मद mohammad
जकार्ता jakarta
राजुरातांडा rajuratanda
एऑन aon
भवानी bhavani
पळसपुर palaspur
मार्लकबुद्रुक marlakbudruk
हरेकृष्णा harekrishna
ताथवडे tathwade
शेवंता shevanta
येवला yewala
तामली tamali
भक्ती bhakti
जॉर्ज george
वॉल्टर्स walters
तंज्य tanjya
गोत्र gotra
एप्रिया apria
फोर्ट fort
नगरकर nagarkar
तेंडुलकर tendulkar
प्रचेतस prachetas
काबनसांगवी kabansangavi
राका raaka
ऋषराज rushraj
मतीनदास mateenadaas
रुची ruchi
काकोडकर kakodkar
मलर malar
फोक folk
ब्राउन brown
वाल्देमर valdemar
अड्डण addan
केराकत kerakat
शादब shadab
राममोहन rammohan
हाफ half
मंगळुरपीर manglurpeer
डियड्री deirdre
सिओ siau
नरसिंह narsinh
शोर shor
मरकत marakat
किनिरोकडे kinirokade
चित्रांगद chitrangad
चोर chor
धृवा dhriva
इंद्रपाल indrapal
वरवंड varvand
धाना dhana
ब्यूरो bureau
सिंघ singh
विवाह vivah
ब्लिक्सन blixen
मानसा manasa
रत्नागिरी ratnagiri
मलकारंजा malkaranja
फोर four
जुम्मल jummal
लाल lal
शिवकांता shivkanta
अकमाल akmaal
नभ nabh
चीचघाट chichghat
लेखराज lekhraj
इंडस्ट्रीज़ industries
मुदित mudit
मापेगावखुर्द mapegavkhurd
पिंपळद pimplad
बुधिप्रिया budhipriya
बिज bij
मंडपगाव mandapgaon
उजाला ujala
नाटेगाव nategaon
लेक lake
भामराजा bhamraja
कुकुल kukul
म्हसाळ mhasal
माटवण matwan
स्कूल school
गंगा ganga
अपना apna
आदिश्री adishri
कला kala
एकोमोडेशन accommodation
मुर्शिदाबाद murshidabad
खून khoon
अशत्रमपूर ashtrampur
ईरोज़ eros
जागीर jagir
मंगरुळखुर्द mangrulkhurd
फोर्ट fort
बाबुळतरा babultara
बालाजी balajee
शरज sharaj
त्रिपुरी tripuri
अनंग ananga
सू su
डियांथ dianthe
गिलाब gilab
तिरुपतीसराम tirupatisaram
एकवीरा ekvira
प्रीस्ले presley
कटंगी katangi
देवश्री devasree
तारापूर tarapur
योशिता yoshita
वसुपाल vasupal
अरमान arman
क्रिस्टल crystal
तूरा tura
बुलबुल bulbul
कळमनुरी kalamnuri
विंस्टन winston
अहमद ahmad
शिविका shivikaa
मश्हुद mashhud
रामप्पन ramappan
ओलिंपिक olympic
अश्वत्थामा ashwatthama
एल्कहार्ट elkhart
आइसल isle
हिप्परगाथडी hippargathadi
एलेन ellen
एरीज aries
त्सावो tsavo
हबिबा habiba
झुसी zusi
सुलोचना sulochana
वैदही vaidahi
तामणशेत tamanshet
कंधार kandhar
ईला ila
सिबेलियस sibelius
सुबश subash
शिलिश shilish
बोरीशेकरी borishekari
तळोदा taloda
कोलोरैडो colorado
अबोध abodh
हर्षवर्धन harshwardhan
लवंग lavang
केराप kerap
राजगाव rajgaon
आभिजात abhijat
अरोही arohi
वाशेरे washere
दपोदी dapodi
भूम्राला bhumrala
नजीब najeeb
कहाँ kahan
शीला shila
धांगरवाडी dhangarwadi
साहिब sahib
झोले zole
सोम som
एलीज़ाबेथ elizabeth
ज्योतिष jyotish
रेल्वे railway
दबतारा dabtara
मालवण malwan
सुधी sudhi
जीवन jivan
राधाडी radhadi
संदूरी sanduri
आंबवडे ambwade
मित्सुबिशी mitsubishi
रागचंद्रिका ragchandrika
धरनगाव dharangaon
आग aag
भांदेर bhander
हुबायशाह hubayshah
कर्लोटा carlotta
महासती mahasati
लालमणि laalamani
दुल्हा dulha
यूनिवर्सिटी university
खुबगावकर khubgaonkar
आत्माराम atmaram
कुकोडगाव kukodgaon
परमार parmar
धानसिंडी dhansindi
भूलोरी bhulori
कंडा kanda
शिवनंदन shivnandan
नानजवाडी nanajwadi
जयवंती jayvanti
पडघा padagha
सर्वक sarvak
मोटर्स motors
साद sad
बहूला bahula
मिराशी mirashi
जमशेतपूर jamshetpur
मैटिस mattis
सिद्धि sidhdhi
कसम kasam
इतकी itaki
बॉन bon
सिमंस simmons
किरपे kirape
चिंचाळी chinchali
अहिवंतवाडी ahivantwadi
मोतेवाडी motewadi
दिवजोत divjot
जुमई jumai
भूल bhool
वरीज varij
सहरसा sahrasa
लुथेरान lutheran
एलरॉय elroy
घाटपांडे ghatpande
गौरव gaurav
कुलपहार kulpahar
सीन sean
कांचिका kanchika
गुरसिमराह gursimrah
लाजपथ lajpath
काटकुंभ katkumbh
जोसफ joseph
उमानाथ umanath
निपाणीपोखारी nipanipokhari
विबोद vibod
मेरा mera
क्रुखोर्न crookhorn
पीटरसन peterson
डी de
भोगाव bhogaon
शालंग shalang
वेस ves
इंदुकर indukar
कोत्रोशी kotroshi
रतिराज ratiraj
भुपिंदर bhupindar
कल्याणपूर kalyanpur
भद्रकाया bhadrakaya
सोमगिरी somgiri
चेतना chetanaa
जहाँगीर jahangir
सुशांती sushanti
सलीम saleem
ज़ोन zone
जीना jeena
मंजुरल manjural
औजस्य aujasya
पेंडगाव pendgaon
आम्रपाली amrapali
अमेरिकन american
साप्ताहिक saptahik
रहमान rahman
लतिका latikaa
वाघोली wagholi
रतन ratan
हिंगणी hingani
ऑडर order
द the
कादंबनी kadambani
लिट्रेरी literary
देवनायक devnayak
कर्मवीर karmavir
खांडवी khandavi
विमोहिनी vimohinee
राजकुमार raajakumaar
मुहीब muhib
पेंटासॉफ़्ट pentasoft
झिनुक jhinuk
ऐरोली airoli
नंदकिशोर nandakishor
अल al
बॉटेसिटा botecita
हरबिर harbir
काठीपाडा kathipada
बहन bahen
सोना sona
माँग mang
भाई bhai
टिडिंग्स tidings
सेनेगल senegal
सारंग sarang
जीनेट jeanette
हरानंद haranand
शितिरत्न shitiratna
की ki
कोठिंबे kothimbe
आभा abha
मद mad
ऑफ of
सेंटेंडर santander
कोटमगाव kotamgaon
संतोश santosh
भरतमुनि bharatmuni
स्ट्राइड stride
असरिता asarita
हीरों heeron
बल्लरी ballari
अरिसूदन arisudan
भोकरदन bhokardan
जवद javad
मंदिरा mandira
मुनीदेव munideo
तुलसीदास tulsidas
मक्कड़ makkad
मुरशेत murshet
विराट virat
अधिकार adhikar
जग्गी jaggi
कुंबनहल kumbnahal
जरूद jarood
मृत्यु mrityu
सरळगाव saralgaon
कुर्डू kurdu
घीरणी ghirani
समुंदर samunder
खेळदेशमुख kheldeshmukh
राज raj
बिसंदा bisanda
निखितेश nikhitesh
क्रेसेंट crescent
रेवत revat
थारकर tharkar
नावेढाग navedhag
स्कैंडियम scandium
क्रेसुद cresud
तळोध talodh
ऑफ of
खडकी khadaki
चिल chill
बनवाली banwali
एक्सपोर्ट्स exports
नसिरुद्यिन nasirudyin
बादल badal
केंद्रेवाडी kendrewadi
दीप्तकिर्ती diptakirti
सीकर sikar
चैगाव chaigaon
शमित shamit
सायबर cyber
काश्विनी kashvini
रवीनंदन ravinandan
तिरधे tiradhe
बंदर्रवाडी bandrrawadi
आकिब aaqib
सरतचंद्र saratchandra
सल्वा salwa
प्रतिश pratish
राळेगाव ralegaon
बभळवाडी babhalwadi
बेनसोन्व्हले bensonvale
अंगमाली angamali
जाणवल janwal
बोटही botahi
अब ab
पुशिरे pushire
मोहम्मद mohammad
कोगीलबुद्रुक kogilbudruk
म्युज़ियम museum
पुईनी puini
वीरकर veerkar
पृथा pritha
फोर्ट fort
सरळांभे sarlambhe
जौहर johar
का ka
ईस्टमेन eastman
वॉगन vaughan
बंगला bungla
अघई aghai
पठारवाडीबुद्रुक patharvadibudruk
शांथी shanthi
बचित्तर bachittar
कुंती kunti
मिशेल michael
केशरवाल kesharwal
फुलवडे fulwade
कफन kafan
फैल्कन falcon
अभयप्रद abhayaprad
पोटला potala
कवाडेवाडी kavadewadi
भानुचंद bhaanuchand
महिवाल mahiwal
मौलीक maulik
माधबी madhabi
प्रोफेसर professor
गोटेगांव gotegaon
अख़्तर akhtar
पर्वनी parvani
थ्रॉग्ज throgs
बोरावले borawale
उमरिकलन umarikalan
कमरगाव kamargaon
तनाज tanaj
रामराव ramrao
सेनु senu
डंकन duncan
रामखेडा ramkheda
अब्दुल abdul
हनिया haniya
सिस्टम्स systems
पुकारेगा pukarega
मियाँ miyan
बाडेन baden
राणासिंघे ranasinghe
अंकिता ankita
फतिमा fatima
अबुल abul
फतिनाह fatinah
दाऊदनगर daudnagar
तारकेश्वरी tarakeshwari
गंदै gandai
गौरीकुंड gaurikund
कोलकाता kolkata
एरीज aries
खेमप्रसाद khemprasad
सुखदीप sukhdip
पिंपळपूर pimpalpur
सदमा sadma
कैथरीन catherine
चित्रल chitral
मनोहर manohar
जाएगी jayegi
दर्शना darshanaa
गोपाल gopal
सालम salam
खरोला kharola
अंबित ambit
तारि़क tariq
लमाणतांडापरळी lamantandaparali
पेड्रो pedro
बिजुरी bijuri
तळसर talsar
अबेय abey
शर्मिली sharmili
स्वाहा swaha
नीलकमल nilkamal
भाईराम bhairam
शशा shasha
सुलगते sulagte
सॉल्यूशन solutions
गरिमा garima
झागराखंड zagrakhand
जलाल jalal
मुर्शिदाबाद murshidabad
अंबोली amboli
देवठानाखांब devthanakhamb
सुनयना sunayana
रसीम raseem
गजपती gajpati
दाई dai
उप्पल uppal
परतपूर paratpur
ब्राम्हवाकडी brahmawakadi
नफरदेव naphardeo
एगर edgar
रिलायंस rel
शिरगाव shirgaon
गल्फोर्ड guilford
अनंतराम anantram
सतपाल satpal
जनेश janesh
रुका ruka
सकशाम saksham
ग्रुप group
ह्यूलेट hewlett
बाजवा bajva
महाबल mahaabal
उदेश्री udeshri
टू to
फ़िरेरो ferrero
अंजुम anjum
ईच्छा ichha
धनवड dhanwad
बारी baari
एर्टन artan
हमसफर humsafar
परिणिता parineeta
इमेज image
स्टेउर्गेट steurgat
यामिनी yamini
क्रेट crete
घराना gharana
क्रिस kris
एवरी avari
आभिजात abhijaat
डॉमनिकन dominican
मार maar
साहिब sahib
सुधा sudhaa
कर्ज़ karz
बर्नाली barnali
डेल्ही delhi
अली ali
संपवन sampvan
नादगीर nadgir
जेरा jera
खरवंडीकासार kharvandikasar
ददाहूर dadahur
श्रीराम shriram
तायसीर taysir
केवलकिशोर kevalkishor
तुका tuka
सोमालिआ somalia
कैनून quanoon
पाटोडेकर patodekar
बोरीबुद्रुक boribudruk
भाई bhai
कप cup
लुथर luther
लेम्ही lemhi
जुई jui
सरकारिया sarkaria
दुमाळा dumala
गढी gadhi
जरवाल jarwal
सफूराह safoorah
काळू kalu
और aur
प्रसन्नजित prasannjit
गंडक gandak
ईश्वर ishwar
रेखी rekhi
पाटस patas
फिसरे fisare
सागरीका sagarika
गद्दार gaddar
कुवैत kuwait
महारानी maharani
देवप्रताप devpratap
बंधना bandhana
प्रभुनंदन prabhunandan
संपुर्णा sampurna
सुसलाद suslad
चित्रेश chitresh
निमत nimat
हवेली haveli
हुआ hua
डैरियस darius
ड्रमर्स dummers
देहभुज dehbhuj
नभकांत nabhkant
बीन been
जगदंबाप्रसाद jagdambaprasad
कुंबेजा kumbeja
हंडरेड hundred
लहामावाडी lahamawadi
प्रिंटिंग printing
कोडी cody
शारदीश shardish
वीणा veena
आइलैंड island
बोरगलवाडी borgalwadi
यूननट्रियम ununtrium
जंक्शन junction
अवनींद्र avanindra
स्वर्णप्रिया swarnapriya
कंधार kandhar
इंडस्ट्रीज़ industries
चंदा chanda
भगवती bhagvati
रुपश्री rupshri
चार्ट्यूस chartreuse
सिम sim
सिच sich
लढ्ढा ladhdha
फलणीकर phalnikar
सुप्रिया supriya
धुलघाट dhulghat
अब्दुल abdul
कार्डिया cardea
आधी aadhi
ऑफ of
डैम dam
पृथीवी pruthivi
स्काय sky
येवती yevati
अनीसा anisa
चौधरी chaudhari
बालापुर balapur
सुदीप्ति sudipti
अंजाने anjaane
जालनेकर jalnekar
पुरोला purola
जान jan
हेलसिंकी helsinki
सबल sabal
महीप mahip
भोलाशंकर bholashankar
डेलोरेस delores
ताप्ती tapti
साहिब sahib
सूर्य soory
डे de
कुर kur
आशी ashi
पुष्ती pushti
कोल्हापुरकर kolhapurkar
धोकवडे dhokwade
हाजीटाकळी hajitakali
धनोआ dhanoa
मालविका malvika
ऋतुजा rutuja
भिंडा bhinda
जुमाह jumah
राजपूत rajput
रामानधी ramanadhi
क्षात्रमाहुली kshatramahuli
भारती bharati
सोनपूर sonpur
बदल badal
ऑन on
कानडा kanada
ऑफ of
चांदवड chandwad
मुअल्ला mualla
बीस bees
इबादत ibadat
अल्ताफ altaaf
गोकाक gokak
योगि yogi
कंठ kanth
डेपॉर्मे dpargme
सगुना saguna
तनुका tanuka
जगपाली jagpali
हरिभाऊ haribhau
साकी saqi
बंदरवाडा bandarwada
सारळ saral
हर्षी harshi
धरमदेव dharamdeo
उटेखोळ utekhol
मैरिली marilee
अल्पा alpa
तांबे tambe
जेब jeb
किया kiya
वेणीर veneer
हरिदत्त haridutt
पळसोना palsona
रामकृष्ण ramkrishna
माळ mal
माइकल्स michaels
सुखराज sukhraj
मोरे more
निलाश्री nilashri
झगडे zagade
प्रवीण pravin
बडगाव badgaon
जांभरुन jambhrun
प्रांशु pranshu
देवाज devaj
कोलाल kolal
बालाकृष्णन balakrishnan
केनिशा kenisha
ज़ोचा zocha
सिद्दार्त siddart
भरोसे bharose
सावित्री saavitree
चानी chani
बौसी bausi
फदिलाह fadilah
घुगेवाडी ghugewadi
मंसूर mansur
प्यार pyar
लॉयड loyad
अम्माजी ammaji
डापेन्ग dapeng
रुकान rukan
वैडन wadden
भापूर bhapur
धनाज dhanaj
झगनलाल zaganlal
प्रगती pragati
कोल्हेवाडी kolhewadi
धानखेडे dhankhede
रामेश्वर rameshwar
फ़र्ट fert
खोमनल khomnal
सोर्चा sorcha
मुहम्मद muhammad
अपेगाव apegaon
चरुडे charude
चिलकना chilkana
शिरवणे shirwane
मदीना madina
सोहिना sohina
पिलखुवा pilkhuwa
नेशनल national
अरुल arul
